descripcion,nombre,idTipo,idValor
,UNIVERSIDAD PRIVADA ABRAHAM VALDELOMAR (UPAV) (ICA),11,080
,UNIVERSIDAD PRIVADA ANTENOR ORREGO (UPAO) (TRUJILLO),11,081
,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO (UPAGU) (CAJAMARCA),11,082
,UNIVERSIDAD PRIVADA DE HUANCAYO ,11,083
,UNIVERSIDAD PRIVADA DE MOQUEGUA (MOQUEGUA),11,084
,UNIVERSIDAD PRIVADA DE TACNA (UPT) (TACNA),11,085
,UNIVERSIDAD PRIVADA DEL NORTE (UPNORTE) (CAJAMARCA),11,086
,UNIVERSIDAD PRIVADA DEL NORTE (UPNORTE) (LOS OLIVOS),11,087
,UNIVERSIDAD PRIVADA DEL NORTE (UPNORTE) (TRUJILLO),11,088
,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA (UPSJB) (CHORRILLOS),11,089
,UNIVERSIDAD RICARDO PALMA (URP) (SANTIAGO DE SURCO),11,090
,UNIVERSIDAD SAN IGNACIO DE LOYOLA (USIL) (LA MOLINA),11,091
,UNIVERSIDAD SAN MARTIN DE PORRES (USMP) (CHICLAYO),11,092
,UNIVERSIDAD SAN MARTIN DE PORRES (USMP) (SANTA ANITA),11,093
,UNIVERSIDAD SAN PEDRO (CAJAMARCA),11,094
,UNIVERSIDAD SAN PEDRO (CHIMBOTE - HUARAZ - CARAZ),11,095
,UNIVERSIDAD SAN PEDRO (HUACHO - BARRANCA),11,096
,UNIVERSIDAD SAN PEDRO (PIURA - SULLANA),11,097
,UNIVERSIDAD SAN PEDRO (TRUJILLO),11,098
,UNIVERSIDAD SANTA CRUZ DE ROMA,11,099
,UNIVERSIDAD SANTIAGO DE COMPOSTELA - ESPANA,11,100
,UNIVERSIDAD SAVANNAH TECHNICAL COLLEGE - GEORGIA USA,11,101
,UNIVERSIDAD SENOR DE SIPAN (UPSS) (CHICLAYO),11,102
,UNIVERSIDAD TECNOLOGICA DE LOS ANDES (UTEA) (ABANCAY),11,103
,UNIVERSIDAD TECNOLOGICA DEL PERU (UTP) (EL CERCADO),11,104
,UNIVERSIDAD TEXAS A&M UNIVERSITY - EEUU,11,105
,UNIVERSIDAD WESTERN KENTUCKY UNIVERSITY - USA,11,106
,UNIVERSIDAD DE VALENCIA - ESPANA,11,107
,UNIVERSIDAD DEL CALLAO ,11,108
,UNIVERSIDAD DEL PACIFICO (UP) (JESUS MARIA),11,109
,UNIVERSIDAD EDIMBURGO DE ESCOCIA,11,110
,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON (UNIFE) (LA MOLINA),11,111
,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA (UNAS) (TINGO MARIA),11,112
,UNIVERSIDAD NACIONAL DE CAJAMARCA (UNC) (CAJAMARCA),11,113
,UNIVERSITY OF VIRGINIA - USA,11,114
,ACADEMIA BRITANICA DE SECRETARIADO,11,115
,ASOCIACION EDUCATIVA ADUNI,11,116
,ASOCIACION EDUCATIVA NICOLAS COPERNICO,11,117
,CENECAPE AMERICANO,11,118
,CENECAPE DE PIURA,11,119
,CENECAPE HENRY PATTERSON,11,120
,CENTRO DE FORMACION PROFESIONAL PARA LA MUJER CONDORAY,11,121
,CENTRO DE INVESTIGACION Y CAPACITACION TECNOLOGICA-CICAT,11,122
,CEOEGNE MARIA DE LOS ANGELES,11,123
,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,11,124
,CONSERVATORIO NACIONAL DE MUSICA,11,125
,ESCUELA TECNOLOGICA SUPERIOR DE PIURA,11,126
,INSTITUTO ADDRESS,11,127
,INSTITUTO ADEU,11,128
,INSTITUTO ADOLFO VIENRICH,11,129
,INSTITUTO ALESSANDRO VOLTA,11,130
,INSTITUTO ALEXANDER FLEMING,11,131
,INSTITUTO ALIANZA FRANCESA,11,132
,INSTITUTO ALTO HUALLAGA,11,133
,INSTITUTO ANTENOR ORREGO ESPINOZA,11,134
,INSTITUTO ANTONIO LORENA,11,135
,INSTITUTO ANTONIO RAYMONDI,11,136
,INSTITUTO APU-RIMAC,11,137
,INSTITUTO ARQUIMEDES,11,138
,INSTITUTO ARTES Y CIENCIAS DE LA COMUNICACION,11,139
,INSTITUTO ARZOBISPO LOAYZA,11,140
,INSTITUTO ASESORIA DE EMPRESAS COMERCIALES ADEC,11,141
,INSTITUTO ASMUTIOMAR,11,142
,INSTITUTO AT COMPUTING,11,143
,INSTITUTO CAMELOT INSTITUTE DE LIMA,11,144
,INSTITUTO CAP FAP JOSE ABELARDO QUINONES,11,145
,INSTITUTO CARLOS AUGUSTO SALAVERRY RAMIREZ,11,146
,INSTITUTO CAYETANO HEREDIA DE LIMA,11,147
,INSTITUTO CEPEA,11,148
,INSTITUTO CESAM,11,149
,INSTITUTO CESCA,11,150
,INSTITUTO CHAMINADE MARIANISTAS,11,151
,INSTITUTO CHOCOPE,11,152
,INSTITUTO CIBERTEC,11,153
,INSTITUTO CIENCIAS DE LA SALUD,11,154
,INSTITUTO COLUMBIA DE LIMA,11,155
,INSTITUTO COMPLEJO HOSPITALARIO SAN PABLO,11,156
,INSTITUTO COMPUTER MASTER,11,157
,INSTITUTO CULTURAL PERUANO NORTEAMERICANO,11,158
,INSTITUTO DANIEL ALCIDES CARRION,11,159
,INSTITUTO DE CONSERVACION Y RESTAURACION YACHAY WASI,11,160
,INSTITUTO DE EDUCACION MEDICA SAN FERNANDO,11,161
,INSTITUTO DE EDUCACION SUPERIOR ALAS PERUANAS,11,162
,INSTITUTO DE EDUCACION SUPERIOR CIMAS,11,163
,INSTITUTO DE EDUCACION SUPERIOR PAUL MULLER,11,164
,INSTITUTO DE EDUCACION SUPERIOR ROCHDALE,11,165
,INSTITUTO DE EDUCACION SUPERIOR SAN MARTIN DE CHORRILLOS,11,166
,INSTITUTO DE EDUCACION SUPERIOR TECCEN,11,167
,INSTITUTO DE EDUCACION SUPERIOR UNICENTER,11,168
,INSTITUTO DE ESTUDIOS BURSATILES,11,169
,INSTITUTO DE FORMACION BANCARIA,11,170
,INSTITUTO DE LA CLINICA RICARDO PALMA,11,171
,INSTITUTO DE LA CLINICA RICARDO PALMA - SEDE CALLAO,11,172
,INSTITUTO DE LOS ANDES,11,173
,INSTITUTO DE SALUD ALBERTO BARTON THOMPSOM,11,174
,INSTITUTO DE SALUD FELICIANO RODRIGUEZ CRUZ,11,175
,INSTITUTO DEL ALTIPLANO,11,176
,INSTITUTO DEL NORTE S.A.C.,11,177
,INSTITUTO DEL SANTA,11,178
,INSTITUTO DON BOSCO,11,179
,INSTITUTO EIGER - ASOCIACION EDUCATIVA Y C. CSC.,11,180
,INSTITUTO ELEAZAR GUZMAN BARRON,11,181
,INSTITUTO ENRIQUE ENCINAS,11,182
,INSTITUTO EUGENIO PACCELLY,11,183
,INSTITUTO EUROLANGUAGE,11,184
,INSTITUTO FEDERICO VILLARREAL,11,185
,INSTITUTO FEDERICO VILLARREAL - CHINCHA,11,186
,INSTITUTO FELIPE ALVA Y ALVA,11,187
,INSTITUTO FLORENCE NIGHTINGALE,11,188
,INSTITUTO FRANCIS COLLINS,11,189
,INSTITUTO FRANKLIN ROOSEVELT,11,190
,INSTITUTO GLICERIO GOMEZ IGARZA,11,191
,INSTITUTO GUILLERMO ALMENARA MARTINS,11,192
,INSTITUTO HIPOLITO UNANUE,11,193
,INSTITUTO HORACIO URTEAGA,11,194
,INSTITUTO HUANUCO,11,195
,INSTITUTO IBEROTEC,11,196
,INSTITUTO IDAT,11,197
,INSTITUTO IDAT CHICLAYO,11,198
,INSTITUTO IHCITEC,11,199
,INSTITUTO ILP LA PONTIFICIA,11,200
,INSTITUTO INFOTUR,11,201
,INSTITUTO IPAD,11,202
,INSTITUTO IPADE,11,203
,INSTITUTO IPAE,11,204
,INSTITUTO ISA INTEGRAL,11,205
,INSTITUTO ISABEL LA CATOLICA,11,206
,INSTITUTO JAVIER PRADO,11,207
,INSTITUTO JOHN CASABLANCAS,11,208
,INSTITUTO JOHN DEWEY,11,209
,INSTITUTO JOHN F. KENNEDY,11,210
,INSTITUTO JOSE CARLOS MARIATEGUI,11,211
,INSTITUTO JOSE MARIA ARGUEDAS,11,212
,INSTITUTO JUAN VELASCO ALVARADO,11,213
,INSTITUTO LA CATOLICA-CHOTA,11,214
,INSTITUTO LA FLORIDA DEL INCA,11,215
,INSTITUTO LATINO,11,216
,INSTITUTO LIMA,11,217
,INSTITUTO LOUIS PASTEUR,11,218
,INSTITUTO LUIS PASTEUR,11,219
,INSTITUTO MANUEL MESONES MURO - MASTER SYSTEM,11,220
,INSTITUTO MARIA DE LOS ANGELES CIMAS,11,221
,INSTITUTO MARIA MONTESSORI,11,222
,INSTITUTO MARIANO IBERICO RODRIGUEZ,11,223
,INSTITUTO METROPOLITANO,11,224
,INSTITUTO MICAELA BASTIDAS,11,225
,INSTITUTO MONTERRY INSTITUTE OF INTERNATIONAL STUDIES,11,226
,INSTITUTO NACIONAL DE INVESTIGACION Y CAPACITACION DE TELECOMUNICACIONES - INICTEL,11,227
,INSTITUTO NORMEDIC - CAJAMARCA,11,228
