tipo,codigo,nombre,descripcion
8,29,METODOLOGIA DE LA ENSEANZA DE INGLES,
8,30,FINANZAS CORPORATIVAS,
8,31,ANALISTA DE SISTEMAS,
8,32,FILOLOGIA HISPANICA,
8,33,MECANOGRAFO,
8,34,EDUCACION INICIAL,
8,35,ELECTRONICA,
8,36,AVIACION COMERCIAL,
8,37,DESENVOLVIMIENTO PERSONAL,
8,38,INGENIERIA DE PROYECTOS,
8,39,INGENIERIA AGRONOMA,
8,40,EXPLOTACION AGRICOLA,
8,41,AGROPECUARIO,
8,42,ASISTENTE DE GERENCIA,
8,43,SECRETAIADO EJECUTIVO BILINGUE,
8,44,INGENIERIA FORESTAL,
8,45,FILOSOFIA,
8,46,TEOLOGIA,
8,47,EDUCACION SECUNDARIA,
8,48,DERECHO TRIBUTARIO AGRARIO,
8,49,FINANZAS,
8,50,ARTES LIBERALES - MENCION HISTORIA,
8,51,CIENCIAS CONTABLES Y FINANCIERAS,
8,52,MEDICINA,
8,53,EDUCACION,
8,54,TEORIA Y PRACTICA EDUCATIVA,
8,55,GEOGRAFIA E HISTORIA,
8,56,BIBLIOTECA,
8,57,DIRECCION DE EMPRESAS TECNOLOGICAS Y DE INTERNET,
8,58,MARKETING PROFESIONAL,
8,59,DERECHO DE LA EMPRESA,
8,60,ASISTENTE EN TOEFL,
8,61,INGENIERIA ZOOTECNISTA,
8,62,ADMINISTRACION PUBLICA,
8,63,GESTION CULTURAL,
8,64,HISTORIA,
8,65,PUBLICIDAD,
8,66,DECORACION,
8,67,ETIQUETA SOCIAL,
8,68,FOTOGRAFIA,
8,69,ELECTRICIDAD INDUSTRIAL,
8,70,MUSICA,
8,71,HUMANIDADES Y PERIODISMO,
8,72,BIOLOGIA,
8,73,MATRIMONIO Y FAMILIA,
8,74,MATEMATICA,
8,75,DIRECCION DE MARKETING,
8,76,FRANCES,
8,77,CONTABILIDAD MERCANTIL,
8,78,ADMINISTRACION DE NEGOCIOS,
8,79,COMUNICACION AUDIOVISUAL,
8,80,LENGUA Y LITERATURA,
8,81,FISICA,
8,82,CIENCIAS,
8,83,HUMANIDADES,
8,84,LEYES Y ECONOMIAS INTERNACIONALES,
8,85,FILOSOFIA DE TECNOLOGIAS ENERGETICAS Y AMBIENTALES PARA EL DESARROLLO,
8,86,LITERATURA ESPAOLA,
8,87,CONTABILIDAD,
9,1,INTERNA,
9,2,EXTERNA,
9,3,PROPIA,
9,4,CONVENIOS,
10,1,TALLER,
10,2,CURSO,
10,3,SEMINARIO,
10,4,EVENTO,
11,1,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,
11,2,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,
11,3,UNIVERSIDAD NACIONAL DE INGENIERIA,
11,4,UNIVERSIDAD DE LIMA,
11,5,UNIVERSIDAD DE SAN MARTIN DE PORRES,
11,6,UNIVERSIDAD AGRARIA LA MOLINA,
11,7,UNIVERSIDAD DE PIURA,
11,8,UNIVERSIDAD INCA GARCILAZO DE LA VEGA,
11,9,UNIVERSIDAD SAN IGNACIO DE LOYOLA,
11,10,UNIVERSIDAD DEL PACIFICO,
11,11,UNIVERSIDAD DEL CALLAO,
11,12,UNIVERSIDAD NACIONAL FEDERICO VILLAREAL,
11,13,UNIVERSIDAD TECNOLOGICA DEL PERU,
11,14,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,
11,15,UNIVERSIDAD NACIONAL DE SAN ANTONIO DE ABAD,
11,16,UNIVERSIDAD RICARDO PALMA,
11,17,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,
11,18,UNIVERSIDAD NACIONAL DEL ALTIPLANO,
11,19,UNIVERSIDAD CESAR VALLEJO DE TRUJILLO,
11,20,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,
11,21,UNIVERSIDAD NACIONAL DE PIURA,
11,22,UNIVERSIDAD PRIVADA ANTENOR ORREGO,
11,23,UNIVERSIDAD PERUANA CAYETANO HEREDIA,
11,24,UNIVERSIDAD NACIONAL DE TUMBES,
11,25,UNIVERSIDAD CATOLICA DE SANTA MARIA,
11,26,UNIVERSIDAD ALAS PERUANAS,
11,27,INST.SUPERIOR TECNOLOGICO ALMIRANTE MIGUEL GRAU,
11,28,INSTITUTO SUPERIOR OTTO TONWSMAN,
11,29,INSTITUTO PERUANO DE ADMINISTRACION DE EMPRESAS,
11,30,UNIVERSIDAD CESAR VALLEJO DE PIURA,
11,31,ACADEMIA BRITANICA DE SECRETARIADO,
11,32,INSTITUTO DON BOSCO - PIURA,
11,33,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON - LIMA,
11,34,,
11,35,UNIVERSIDAD NACIONAL DE TRUJILLO,
11,36,CAMELOT INSTITUTE DE LIMA,
11,37,INSTITUTO CULTURAL PERUANO NORTEAMERICANO ICPNA,
11,38,UNIVERSIDAD DE FERRARA - ITALIA,
11,39,ESCUELA DE SECRETARIAS DE LA UNIERSIDAD NACIONA,
11,40,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,
11,41,CENECAPE HENRY PATTERSON,
11,42,,
11,43,,
11,44,INSTITUTO AT COMPUTING - HOLANDA,
11,45,UNIVERSIDAD DE OVIEDO - ESPAA,
11,46,UNIVERSIDAD DE EDIMBURGO - ESCOCIA,
11,47,UNIVERSITY OF WINDSOR - ONTARIO - CANADA,
11,48,MONTERREY INSTITUTE OF INTERNATIONAL STUDIES - U,
11,49,ACADEMIA BRITANICA DE SECRETARIADO,
11,50,UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO,
11,51,UNIVERSIDAD NACIONAL DE CAJAMARCA,
11,52,INSTITUTO COLUMBIA DE LIMA,
11,53,INSTITUTO JOHN CASABLANCAS,
11,54,SEMINARIO DE GUADALAJARA,
11,55,UNIVERSIDAD DE SANTA CRUZ - ROMA,
11,56,CEOEGNE MARIA DE LOS ANGELES,
11,57,ISMA,
11,58,INSTITUTO DE EDUCACION SUPERIOR ALAS PERUANAS-PI,
11,59,INSTITUTO SUPERIOR TECNOLOGICO VICENTE GARCIA -,
11,60,INSTITUTO SUPERIOR TECNOLOGICO SANTA ANGELA,
11,61,INSTITUTO PERUANO DE ADMINISTRACION DE EMPRESAS,
11,62,UNIVERSIDAD NACIONAL SAN AGUSTIN - UNSA AREQUIPA,
11,63,UNIVERSIDAD DE MILAN,
11,64,UNIVERSIDAD LOS ANGELES DE CHIMBOTE - ULADECH,
11,65,UNIVERSIDAD DE VALENCIA - ESPAA,
11,66,UNIVERSIDAD PARTICULAR DE CHICLAYO,
11,67,UNIVERSIDAD COPLUTENSE DE MADRID,
11,68,INSTITUTO DE ESTUDIOS BURSATILES,
11,69,INSTITUTO SUPERIOR PEDAGOGICO DE PIURA,
11,70,ESAN,
11,71,UNIVERSIDAD DE NAVARRA - ESPAA,
11,72,C.E.O. DON BOSCO - PIURA,
11,73,I.S.T. JOHN KENNEDY,
11,74,SAVANNAH TECHNICAL COLLEGE - GEORGIA USA,
11,75,WESTERN KENTUCKY UNIVERSITY - USA,
11,76,UNIVERSIDAD DE BARCELONA,
11,77,LONDON ORATORY SCHOOL,
11,78,INSTITUTO TOULOUSE LAUTREC,
11,79,NO ESPECIFICA,
11,80,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO I,
11,81,CONSERVATORIO NACIONAL DE MUSICA,
11,82,INSTITUTO SUPERIOR PEDAGOGICO PRIVADO MARIA AUXI,
11,83,UNIVERSIDAD INTERNACIONAL DE CATALUA,
11,84,UNIVERSIDAD AUTONOMA DE BARCELONA,
11,85,ESCUELA PROFESIONAL DE CIENCIAS BIOLOGICAS - UNP,
11,86,ESCUELA NORMAL DE TUMBES,
11,87,UNIVERSIDAD POLITECNICA DE CATALUA,
11,88,ALIANZA FRANCESA,
11,89,EUROLANGUAGE,
11,90,IPADE,
11,91,INSTITUTO TECNICO KARL MARX STADT CHEMNITZ ALEMA,
11,92,PROGRAMA DE ALTA DIRECCION DE LA UNIVERSIDAD DE,
11,93,ESCUELA TECNOLOGICA SUPERIOR DE PIURA - UDEP,
11,94,IESE,
11,95,UNIVERSIDAD SANTIAGO DE COMPOSTELA -ESPAA,
11,96,TEXAS A&M UNIVERSITY - EEUU,
11,97,CENECAPE AMERICANO,
11,98,WORL TRADE INSTITUTE,
11,99,UNIVERSIDAD DE BERNA FRIBURGO Y NEUCHATEL,
11,100,UNIVERSIDAD DE LA CORUA - ESPAA,
11,101,UNIVERSIDAD DE ROMA LA SAPIENZA - ITALIA,
11,102,CENECAPE PIURA,
11,103,"UNIVERSITY OF VIRGINIA, USA",
11,104,POLITECNICO DE MILANO,
11,105,I.P.P. SANTO TOMAS DE AQUINO,
12,0,LIDERAZGO,
12,1,PROACTIVIDAD,
12,2,CAPACIDAD PARA INTERRELACIONARSE A TODO NIVEL,
12,3,DISPOSICIîN PARA VIAJES FRECUENTES,
12,4,DISPONIBLE AL 100%,
12,5,COMPUTACIîN,
12,6,INGLS,
12,7,SECUNDARIA,
12,8,ESTUDIOS TCNICOS,
12,9,ESTUDIOS UNIVERSITARIOS,
12,10,ESTUDIOS DE ESPECIALIZACIîN,
12,11,ESTUDIOS DE POSTGRADO,
12,12,MAESTRêA,
12,13,RANGO DE EDADES,
12,14,SEXO,
12,15,RANGO DE AOS DE EXPERIENCIA,
12,16,CAPACIDAD NUMéRICA,
12,17,CAPACIDAD DE ABSTRACCIîN,
12,18,CAPACIDAD PARA TRABAJAR BAJO PRESIîN,
12,19,APTITUD VERBAL,
12,20,MEMORIA,
12,21,CAPACIDAD DE ANALISIS Y SINTESIS,
12,22,RAZONAMIENTO,
12,23,APTITUD NUMERICA,
12,24,EXPRESION ORAL Y ESCRITA,
12,25,INICIATIVA,
12,26,SUSPICACIA,
12,27,PERSUASIVO,
12,28,DOMINANCIA,
12,29,PROACTIVIDAD,
12,30,ORIENTACION A LAS VENTAS,
12,31,SOCIABILIDAD,
12,32,RECEPTIVIDAD,
12,33,PERSEVERANCIA,
12,34,HABILIDAD PARA NEGOCIAR,
12,35,HONESTIDAD,
12,36,TRABAJO BAJO PRESION,
12,37,DISPONIBILIDAD A TRANSLADARSE A PROVINCIAS,
12,38,SEGUIMIENTO Y CONTROL,
12,39,PRESENTACION,
12,40,EMPATIA,
12,41,CAPACIDAD PARA COMPRENDER Y TRANSMITIR INFORMACION,
12,42,TRANSPARENCIA E INTEGRIDAD,
12,43,HABILIDAD PARA PERSUADIR Y VENDER,
12,44,CRITERIO,
12,9999,SIN DEFINICIîN,
13,1,ESTUDIOS/EXPERIENCIA,
13,2,HABILIDADES INNATAS,
13,3,OTROS,
13,4,CONOCIMIENTOS,
13,9,SIN DEFINICION,
14,1,EXCELENTE,
14,2,MUY BUENO,
14,3,BUENO,
14,4,REGULAR,
14,5,MALO,
14,9,SIN DEFINICION,
15,0,MAANA,
15,1,TARDE,
15,2,NOCHE,
15,3,TIEMPO COMPLETO,
16,1,TENNIS,
16,2,NATACIîN,
16,3,CINE,
17,1,S/.,NUEVOS SOLES
17,2,US$,DOLARES AMERICANOS
17,3,EUR,EUROS
18,0,Masculino,
18,1,Femenino,
19,0,Si,
19,1,No,
